sampno,perno,dayno,actype,locname,arrtime,deptime,travtime,actdur,distance,transportmode,lon,lat,start_lon,start_lat,end_lon,end_lat
20000228,1,2,leisure,Home,08:06,10:06,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,shopping,Christian Love Baptist Church,12:40,13:23,7,43,0.43848358173636826,walking,-87.6225495,41.7808672,-87.623216,41.776951,-87.6225495,41.7808672
20000228,1,2,errands,Christian Love Baptist Church,13:23,14:07,2,44,0.0,walking,-87.6225495,41.7808672,-87.6225495,41.7808672,-87.6225495,41.7808672
20000228,1,2,leisure,Home,14:07,15:07,7,60,0.43848358173636826,walking,-87.623216,41.776951,-87.6225495,41.7808672,-87.623216,41.776951
20000228,1,2,dining,Home,15:07,15:47,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,leisure,Home,15:47,17:47,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,dining,Home,17:47,18:27,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,leisure,Home,18:27,20:27,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,sleep,Home,20:27,05:26,0,539,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,sleep,Home,03:00,05:26,0,146,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,leisure,Home,05:26,06:30,0,64,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,dining,Home,06:30,07:00,0,30,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,errands,Neighborhood Walking Path,07:00,07:24,4,24,0.15636683425810416,walking,-87.6250583,41.7766677,-87.623216,41.776951,-87.6250583,41.7766677
20000228,1,3,shopping,Citgo,12:40,13:23,10,43,0.6799228886495612,walking,-87.632247,41.7795866,-87.6250583,41.7766677,-87.632247,41.7795866
20000228,1,3,recreation,Nearby Walking Path,13:23,14:40,5,77,0.22112213115568435,walking,-87.629795,41.780358,-87.632247,41.7795866,-87.629795,41.780358
20000228,1,3,dining,Home,14:40,15:01,10,21,0.6651022251165765,walking,-87.623216,41.776951,-87.629795,41.780358,-87.623216,41.776951
20000228,1,3,leisure,Home,15:01,16:02,0,61,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,travel,Citgo,16:02,16:08,7,6,0.44875752156572674,walking,-87.6246512,41.7730561,-87.623216,41.776951,-87.6246512,41.7730561
20000228,1,3,shopping,Shell,16:08,16:43,7,35,0.4036787766054502,walking,-87.6295061,41.7730929,-87.6246512,41.7730561,-87.6295061,41.7730929
20000228,1,3,dining,Canaan Baptist Church,16:43,17:00,5,17,0.27373589666618503,walking,-87.6327878,41.7728954,-87.6295061,41.7730929,-87.6327878,41.7728954
20000228,1,3,leisure,Home,17:00,19:00,13,120,0.9144586742678261,walking,-87.623216,41.776951,-87.6327878,41.7728954,-87.623216,41.776951
20000228,1,3,dining,Home,19:00,19:45,0,45,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,leisure,Home,19:45,21:00,0,75,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,3,sleep,Home,21:00,03:00,0,360,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,4,leisure,Home,05:26,06:26,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,4,errands,Christian Love Baptist Church,06:26,07:00,7,34,0.43848358173636826,walking,-87.6225495,41.7808672,-87.623216,41.776951,-87.6225495,41.7808672
20000228,1,4,dining,Home,07:00,07:40,7,40,0.43848358173636826,walking,-87.623216,41.776951,-87.6225495,41.7808672,-87.623216,41.776951
20000228,1,4,leisure,Home,07:40,09:00,0,80,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,4,shopping,Christian Love Baptist Church,09:00,09:43,7,43,0.43848358173636826,walking,-87.6225495,41.7808672,-87.623216,41.776951,-87.6225495,41.7808672
20000228,1,4,recreation,Nearby Walking Path,09:43,10:43,2,60,0.02153260387680143,walking,-87.62234353355717,41.780749651571654,-87.6225495,41.7808672,-87.62234353355717,41.780749651571654
20000228,1,4,leisure,Home,10:43,12:00,7,77,0.4281019612149593,walking,-87.623216,41.776951,-87.62234353355717,41.780749651571654,-87.623216,41.776951
20000228,1,4,dining,Home,12:00,12:40,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,4,shopping,New Food Mart,12:40,13:23,11,43,0.7653146601745443,walking,-87.615213,41.7803559,-87.623216,41.776951,-87.615213,41.7803559
20000228,1,4,leisure,Home,13:23,15:01,11,98,0.7653146601745443,walking,-87.623216,41.776951,-87.615213,41.7803559,-87.623216,41.776951
20000228,1,4,travel,Citgo,15:01,15:07,7,6,0.44875752156572674,walking,-87.6246512,41.7730561,-87.623216,41.776951,-87.6246512,41.7730561
20000228,1,4,shopping,Citgo,15:07,15:15,2,8,0.0,walking,-87.6246512,41.7730561,-87.6246512,41.7730561,-87.6246512,41.7730561
20000228,1,4,dining,Bethel Temple,15:15,15:50,6,35,0.36600571647747154,walking,-87.6246588,41.7697608,-87.6246512,41.7730561,-87.6246588,41.7697608
20000228,1,4,leisure,Home,15:50,17:30,12,100,0.8075669675217138,walking,-87.623216,41.776951,-87.6246588,41.7697608,-87.623216,41.776951
20000228,1,4,dining,Home,17:30,18:10,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,4,leisure,Home,18:10,20:00,0,110,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,4,sleep,Home,20:00,05:26,0,566,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,leisure,Home,05:26,06:26,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,dining,Home,06:26,07:06,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,leisure,Home,07:06,08:06,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,shopping,Christian Love Baptist Church,12:40,13:23,7,43,0.43848358173636826,walking,-87.6225495,41.7808672,-87.623216,41.776951,-87.6225495,41.7808672
20000228,1,5,errands,Christian Love Baptist Church,13:29,13:59,2,30,0.0,walking,-87.6225495,41.7808672,-87.6225495,41.7808672,-87.6225495,41.7808672
20000228,1,5,recreation,Nearby Walking Path,14:07,15:07,4,60,0.12626908554514046,walking,-87.62311007017138,41.7819237917249,-87.6225495,41.7808672,-87.62311007017138,41.7819237917249
20000228,1,5,dining,Home,15:07,15:47,9,40,0.5523932217883857,walking,-87.623216,41.776951,-87.62311007017138,41.7819237917249,-87.623216,41.776951
20000228,1,5,leisure,Home,15:47,17:47,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,social,Home,17:47,19:47,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,leisure,Home,19:47,20:47,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,5,sleep,Home,23:00,05:26,0,386,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,6,leisure,Home,05:26,06:26,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,6,recreation,Neighborhood Walking Path,06:26,07:26,3,60,0.058272454846902834,walking,-87.62362528444612,41.77737691038515,-87.623216,41.776951,-87.62362528444612,41.77737691038515
20000228,1,6,dining,Home,07:26,08:06,3,40,0.058272454846902834,walking,-87.623216,41.776951,-87.62362528444612,41.77737691038515,-87.623216,41.776951
20000228,1,6,shopping,New Food Mart,12:40,13:23,11,43,0.7653146601745443,walking,-87.615213,41.7803559,-87.623216,41.776951,-87.615213,41.7803559
20000228,1,6,errands,Church of God,13:23,13:53,13,30,0.9415019119297316,walking,-87.6100488,41.7728119,-87.615213,41.7803559,-87.6100488,41.7728119
20000228,1,6,leisure,Home,15:01,16:01,16,60,1.1873596933634105,walking,-87.623216,41.776951,-87.6100488,41.7728119,-87.623216,41.776951
20000228,1,6,social,Greenline Coffee,16:02,18:02,16,120,1.1348527534746713,walking,-87.6130835,41.7837978,-87.623216,41.776951,-87.6130835,41.7837978
20000228,1,6,dining,Home,18:02,18:42,16,40,1.1348527534746713,walking,-87.623216,41.776951,-87.6130835,41.7837978,-87.623216,41.776951
20000228,1,6,leisure,Home,19:00,20:30,0,90,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,6,sleep,Home,23:30,05:26,0,356,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,7,leisure,Home,05:26,06:06,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,7,dining,Home,06:06,06:36,0,30,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,7,recreation,Neighborhood Walking Path,06:36,07:36,6,60,0.30121414749368863,walking,-87.6267882,41.7774036,-87.623216,41.776951,-87.6267882,41.7774036
20000228,1,7,leisure,Home,07:36,09:36,6,120,0.30121414749368863,walking,-87.623216,41.776951,-87.6267882,41.7774036,-87.623216,41.776951
20000228,1,7,errands,Neighborhood Walking Path,09:36,10:36,8,60,0.46406559657616836,walking,-87.6280269,41.7748324,-87.623216,41.776951,-87.6280269,41.7748324
20000228,1,7,shopping,Saint Benedict School,10:36,11:16,8,40,0.4920197326015457,walking,-87.6339386,41.7750338,-87.6280269,41.7748324,-87.6339386,41.7750338
20000228,1,7,dining,Home,11:16,12:16,13,60,0.9165634731578345,walking,-87.623216,41.776951,-87.6339386,41.7750338,-87.623216,41.776951
20000228,1,7,leisure,Home,12:16,13:16,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,7,travel,Citgo,13:16,13:22,7,6,0.44875752156572674,walking,-87.6246512,41.7730561,-87.623216,41.776951,-87.6246512,41.7730561
20000228,1,7,shopping,Pinkie April Snow Enterprises,13:22,14:22,18,60,1.3113740511103524,walking,-87.6131042,41.765014,-87.6246512,41.7730561,-87.6131042,41.765014
20000228,1,7,dining,Cafe,14:22,15:22,10,60,0.6445773949093361,walking,-87.60642395267162,41.76207039853123,-87.6131042,41.765014,-87.60642395267162,41.76207039853123
20000228,1,7,travel,Firehouse Bakery & Grill,15:22,15:32,6,10,0.37490717301027443,walking,-87.6069477,41.7587178,-87.60642395267162,41.76207039853123,-87.6069477,41.7587178
20000228,1,7,leisure,Home,15:32,16:32,31,60,2.4353778531379624,walking,-87.623216,41.776951,-87.6069477,41.7587178,-87.623216,41.776951
20000228,1,7,errands,Christian Love Baptist Church,16:32,17:02,7,30,0.43848358173636826,walking,-87.6225495,41.7808672,-87.623216,41.776951,-87.6225495,41.7808672
20000228,1,7,dining,Home,17:02,18:02,7,60,0.43848358173636826,walking,-87.623216,41.776951,-87.6225495,41.7808672,-87.623216,41.776951
20000228,1,7,leisure,Home,18:02,20:02,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,7,sleep,Home,20:02,05:26,0,564,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
